SVM,KNN,RF,Review
no,no,no,very bad quality. The reading sensor to have the screen on during looking to it is not working. the battery run out fast.
yes,yes,yes,I love it and would recommend it
yes,yes,yes,I had the s5 before and I have loved my phone. I changed because I dropped my phone and it broke. My spouse has the s7 edge and I can tell that this Note 5 is even better! Pros: 1. 16 mgpx camera 2. Bigger display than the s7 3. Thin and elegant 4.
yes,yes,yes,Excellent product and service!!!!!
yes,yes,yes,Excellent phone! 5/5
yes,yes,yes,I love it only the battery doesn't last long even on a stand by mode
yes,yes,yes,"Excellent smartphone. I just wish Samsung hadn't discontinued so many features from Note 4, such as infra-red blaster (used to love IR remote control of my house gadgets), features non-removable battery (and which is slightly lower power than for Note 4), no microSD support -- but these deficiencies..."
yes,yes,yes,Excellent condition I am very satisfied. Not a single shkrecth.
yes,yes,yes,"We got some great phones. We have to reset them alot, but overall, very happy."
yes,yes,yes,It's wonderful. I have Metro PCS and it was a beautiful switch. No spot for an SD card. And you have to buy a SIM card which was $20. Also if you have Matrox PCS and are switching phones there will be a charge for that as well.
yes,yes,yes,I am a note user.. started with version 2 then 4 and when I dropped my 4 I had not much option as the 5 was out. I was hoping to wait for the 6 but oh well. Initially I thought I would hate the fact that there was no removeable battery but so far not an issue.
yes,yes,yes,So far no problem with my note 5. Lag-free with a very very good camera.
no,no,no,I am on my third replacement Samsung Note 5 phone in only 3 months. The battery life sucks. The phone frequently disconnects from the grid. The WiFi and hotspot constantly fail and have to be reset.
yes,yes,yes,"Phone works perfectly and it arrived in no time, im fully satisfied with my choice of phone and seller."
yes,yes,yes,Amazing Device. It Does everything I Need it to do. Will be looking forward for the Note 6
yes,yes,yes,I like the phone. I just thought it would be gold and not gold platinum
yes,yes,yes,Excelente. Nothing to said.
yes,yes,yes,Good product I'm very glad I bought this phone!
yes,yes,yes,"Great Devices, as stated , took to Long to receive from NJ to Brooklyn though."
yes,yes,yes,"Honestly, this phone is amazing. I really don't even know how to make use of all the features it has, but once I learn they will sure come in handy. The feel is amazing, it's very slick and fits well on the hand."
no,yes,yes,"This is a nice-looking phone with great specs, but there have been so many minor bugs and annoyances occurring that I cannot recommend this phone to anyone. Some days I just want to throw it in the garbage."
yes,yes,yes,Superb mobile.. lovely piece.. performance is very good.. I am using in India.. slim and beautiful looks..4gb RAM is enough to run any application.. superb camera .. front and rear both.
yes,yes,yes,"*PROS:* +Best Screen Of 2015 +Insanely Fast Performance +Very Pretty +""B"" Rating Battery Life (5-6hrs SOT 99% of the time) +Decently Durable (drop from 4ft on tile and no damage) +Best Phone Camera Of 2015 +Very Tactile Buttons +Great Fingerprint Scanner +Decent Speaker +Fast Charging (0-100 in ~1hr..."
yes,yes,yes,It's perfectly working iambic really happy having such device.
no,yes,no,The phone is super slow ... I do not know why. I do not buy this phone again
yes,yes,yes,"Perfect packaging,the device as described."
yes,yes,yes,"Honestly, best phone I've ever had. I've always owned an iPhone but this this is durable, fast, great battery life, great apps, and more open than an iPhone, meaning you aren't quite constrained as an iPhone. Im sold."
yes,yes,yes,There is No reason
yes,yes,yes,very good thank you
yes,yes,yes,"Purchased for someone else, they have no complaints."
yes,yes,yes,I'm so happy that with this phone and it was very easy to set up with cricket.
no,yes,no,ive had this phone for 2 weeks now i havnt dropped it from a far drop and i have a pure.gear case on it which is military grade and is still horrible probably the worst phone ive ever had its a big piece of fragile glass if you ask me..
no,no,no,"Stopped working after 5 weeks and can't be fix in United States because it was built for the African market, so after calling everyone and not getting help, i had to buy a new phone."
no,no,no,"I brought this phone last 5 days ago and then this morning , I can't open my phone, it's screen keep screen. I will return it or SELLER NEED TO FIX it."
yes,yes,yes,Love it. Awesome gadget. Delivered as promised. Complete with software as genuine product. Works just great.
yes,yes,yes,"So first off I'd like to start by saying I am a long time android fan I have owned the following phone Galaxy s4,s5,s6 Galaxy Note 4 Galaxy Note 5 LG g2 LG get flex 2 Motor x pure 2015 HTC one m7 HTC desire 816 HTC desire 601 One plus one Moto g Nexus 6p I picked up the grey titanium note 5 as a..."
yes,yes,yes,Absolutely love this phone. Awesome new features and upgrades from my Note 3. The pictures it takes are the best I've ever taken. Wish it had an expandable memory card slot but I've gotten used to sending my photos to the cloud. Totally love it.
yes,yes,yes,Ok so far but what the hell kinda charger is this??? Adding to my previous comment this phone does not have an IR blaster!! But the older models do. I'm bummed!! Samsung really messed up this time but the camera is nice. I'm very disappointed about the absense of the Infrared technology though.
yes,yes,yes,"I really appreciate my note 5. I have the sprint version but it is still great. Touchwiz is still incredibly annoying. I switch between the Google now and nova prime launcher. The themes help with making the gaudy touch wiz appearance better. I love the camera, a serious competitor for even DSLR's."
no,yes,yes,Battery gets warm frequently and sometimes hot. Otherwise it would be a great one.
yes,yes,yes,"absolutely in love with this phone! i was a long time android user before getting an iphone, i ended up missing andriod a lot so i went and bought the note 5 and i have no regrets."
no,no,no,"This phone doesnt work world wide, It only works in America..you get the N920G not the N920i Version. If you are planning traveling to Europe, Asia, Africa or Ocenia buy it."
yes,yes,yes,"Great camera, camcorder, display...it would be much easier to use with one hand if it was like the iPhone an just swipe to the right to go to the previous page an fast charging"
yes,yes,yes,This phone is awesome. It has so many features and doesn't disappoint.
yes,yes,yes,This phone has it all!
no,yes,yes,Cannot change battery out
yes,yes,yes,"What a difference this phone is going to make in my life! The stylus is just what I needed for my clumsy fingers. This phone replaces a computer, laptop tablet and camera for me. Note 5 where have you been all my life?"
yes,yes,yes,"The phone is fast, responsive, and very solidly built. It is well designed and is a beautiful phone. However, there are two problems with it which I find to greatly detract from its quality. First, reception on the AT&T network with this phone could be better."
no,yes,no,"This phone is no good not even a day after I started using it, the phone fell the screen was completely blank and scattered. So dissapointed"
yes,yes,yes,"I love my note 5. The screen is huge, which was a huge factor in me buying it. I don't use the stylus, but when I do, it works great."
yes,yes,yes,Came fast and am so much in love with this phone
yes,yes,yes,I absolutely love this phone! I had the note and the note 2. I went with another phone and was high disappointed. Nothing but the best from here on out and the best is definitely the Samsung Galaxy Note 5!
yes,yes,yes,I'm loving my new phone.. Just ordered it and it is working flawlessly and it was in great condition when I received it! Thanks guys
no,yes,yes,my phone got stollen and i cant get it back
yes,yes,yes,Wow best smartphone for taking notes in classroom.
yes,yes,yes,"The Good: Beautiful new face lift, smoothest running phone I have ever used, one of the best phone cameras around, fantastic S-Pen experience, gorgeous screen The Bad: Closed in battery means not the greatest battery life, no expandable memory — the biggest hit the phone is taking, S-Pen software..."
yes,yes,yes,"It was unlocked as advertised. This phone is fast on the internet through my wifi. Graphics are beautiful. Camera is very good. After fully charging the battery and with average use, phone and internet, the battery was down to 30% after 48 hours, at which point I recharged it and it took 1 hour and..."
yes,yes,yes,"Truelly disappointed in Samsung. I have been with Google and Samsung. From the very beginning. I had always Apreciated Samsung for their better designed phones and variety. I was looking forward to this years, upgrade. To come and find out that the only actual difference was a glass back cover."
yes,yes,yes,"I liked my Galaxy S4 a lot until I sat on it, so I got a new Note 5 to replace it. I was looking forward to new features and maybe an unbreakable screen and unwarpable body if you accidentally sit on it. I quickly discovered that three major features of my S4 were gone. 1."
yes,yes,yes,"For readers, my opinions on this device (ATT 64Gb version) is based off the experiences I had with this device for the passed few days since launch day (Aug 21, 2015). I will continue to update this review in the future."
no,no,yes,I believe battery replacement is not crucial. I never carried or like to Carry extra batteries because it's a hassle when you can charge the note 5 and within 30 to 55 minstrel it's charge.
yes,yes,yes,1 Best phone in the market right now. 2 Cons Why everyone picking on samsung I phones never had removable batteries or micro sd expansion. 3 They are not the 1st to make a phone with a glass back or with glass overall all phones have glass screens so if you don't want to damage your 750 dollar phone...
yes,yes,yes,"Samsung Galaxy Note 5 Detailed Review Premium Design It appears that Samsung has finally dropped plastic and leather casing on its flagship phones, and has now subscribed to using metal and glass casing for its top brand phones."
yes,yes,yes,"Lets make this Quick. #1. Bigger Display 100% Color Gamut OLED 5.7"" QHD #2. Smaller thinner and lighter than iPhone 6 Plus which has a smaller 5.5"" Display #3. 4GB DDR RAM is more than enough what other phone has 4GB of RAM #4. Fast Charging quick on the go 15 minutes gives you power for the day #5."
yes,yes,yes,Let me preface this review by saying I am a device and tech hound. I am coming from a perfectly good Galaxy S5 and choose to pay full price for an upgrade. It was worth every penny and don't regret the decision one bit.
yes,yes,no,"I just upgraded from the Note 4 to the Note 5, after a few days I was happy with my new device. There are some new features and most of the old ones. However when I was using my Note 5's Mobile Hotspot feature and received a phone call i noticed that my connected Laptop's Internet stopped working..."
yes,yes,yes,"I bought this phone on 08/28/2015 5 days later, the rear camera's lens (hoping the camera it's fine) broke in a very strange way, without even falling once, I sent the phone to Samsung, and they'll take around a 7 business day, I spent 907$ on this phone exactly and I just decided to move from my..."
yes,yes,yes,"Great phone, but the computing power seems lower than its specs. Maybe it is due to some optimization that needs to be done on the software (Android) side. The screen resolution is amazing, and I strongly recomend this phone to those seeking the comfort of a big screen, and the computing power of an..."
yes,yes,yes,"I lost my Note 4 and it was replaced by AT&T with a Note 5. Although it has some nice features it no longer has three of the features that caused me to buy it: removable battery, expandable memory and the IR blaster that I used with the excellent Peel remote control app."
yes,yes,yes,"Not only is this phone beautifully designed, it is so satisfying. The big screen just imersifies you and gives you a great experience. The new Touchwiz is also fantastic. It is fast, smooth, and essentially lag free. The 4 GB of RAM help with. This is by far the best phone I have ever owned."
yes,yes,yes,What can I say...it blows the Apple product out of the universe. People just stop what they are doing when I start taking notes... they are AMAZED! Truly a wireless FASSSST Charger if you get the charger with the capabilities.
yes,yes,yes,The best cellphone I've owned I love it. Upgraded from the Note 3.
yes,yes,yes,"I love this phone and have had it for a few weeks and enjoying it each time I hold it in my hand. This is my very first smart phone and it has be hook, line and sinker. I've had a cell phone for years and only used it occasionally for a real need."
yes,yes,no,"I bought my phone from Verizon, I got it to replace my note 3. I wish I had read the reviews first. I intend to return this device. I have had many Samsung and I could just move my memory card from phone to phone bring all my numbers and pics,video and music. I am so dissatisfied ,it makes me sad."
no,no,no,This product has major issue with WIFI connectivity. Samsung customer care executive don't want to trouble shoot the issue because it is international version.
yes,yes,yes,"This ohone is the best, I come from the note 4 so when I bought this oneI was skeptical about the build-in battery and no sd slot but I luv it its def worth the $750."
yes,yes,yes,"onDecember 3, 2015 Pros: Realistic color, Bright display, s pen Cons: Did not meet expectations, vr incapable, too expensive Overall this is a great phone but I've been reading a lot of reviews and checking out YouTube Reviews also and have found some very disturbing news about the virtual reality..."
yes,yes,yes,Fantastic phone!! I had a LG G4 before this and now if i go back and use it it feels like im playing with a kids toy. It feels great in the hand and picture quality is amazing. Didnt think I'd like the S Pen but I end up using it all the time.
yes,yes,yes,Let me preface this review by stating that I am always looking for the best smartphone. So I am selling and buying new phones every few months. I have recently owned the iPhone 6 plus and the LG V10 and while they are both decent phones in their own rights they just don't hold a candle to the note...
yes,yes,yes,"Awesome colour. Not as loud a colour as I was expecting, which was good. Loved the stylus especially. Great phone."
yes,no,yes,"Note 5 was a huge disappointment. The reason I like the note series is its versatility. With expandable storage, huge removable battery and large screen it was a productivity tool- not a toy. Note 5 is a toy. Samsung is copying Apple without an understanding of Note customer base."
yes,yes,no,Don't listen to the doubters. They don't have the phone. I was one of the people who complained about it lacking micro sd and removable batteries. I said I'll never buy this phone because Samsung was going away from power users. Well guess what? This phone destroys all previous Notes.
yes,yes,yes,Execellent every thing i wanted
no,no,no,"Beware of very poor customer support. There are 2 ways to reach support: - chat ; - phone. Both are pretty useless beyond what is on their cheat-sheet. Reps unable to find, analyze or control information. This includes floor supervisors-on-duty."
yes,yes,yes,"I split my world between north America and Australia, so I wanted a device that would work in both countries. I purchased the unlocked Samsung Galaxy Note 5 to replace my original Note device (it held up well for 5 years)."
yes,yes,yes,As Expected Great Product.
yes,yes,yes,"The note 5 is a great device the item was delivered and works​ flawlessly on ATT, receiving LTE coverage."
yes,yes,yes,"I absolutely love this phone....I bought it a month ago and it works well, picture quality it amazing."
no,yes,no,Item came and was prestine on the outside...hut the screen never worked...it comes on but the touch doesnt work...even though its a like new phone i don't think it was checked thoroughly...
yes,yes,yes,I love this phone
yes,yes,yes,Great phone! I love it!!
no,no,yes,"only accessories was in package, seems it was a production error..."
yes,yes,yes,"Excellent Phone. Better bettery, processor and features than note 4"
yes,yes,yes,"Todo excelente, el producto cumplió con todo lo publicado"
yes,yes,yes,It doesn't have lte...works as expected but has blackout spots through the out metro areas..
yes,yes,yes,Its is everything I expected
yes,yes,yes,The phone is nice but something is wrong with the battery
no,yes,yes,Always dropping signal. I had a Chinese phone {zte zmax 2) before this phone that had much better WiFi and signal reception and costed a quarter of the price. Very disappointed in this phone.
yes,yes,yes,"Disappointed (hence the 4 stars) by the fact that a Euro plug was sent since I think that an adapter from Euro to US should have been included. With that said, the phone so far works well but I cannot say much more as I have not begun to use it extensively."
yes,yes,yes,"For readers, my opinions on this device (ATT 64Gb version) is based off the experiences I had with this device for the passed few days since launch day (Aug 21, 2015). I will continue to update this review in the future."
yes,yes,yes,"I was lucky enough to get this phone before it's official release date. I previously used the Note 4 and was very happy with it. I must admit I was a little skeptical when I found out there was no removable battery, but that worry was quickly put to rest. The 3000 mah battery lasts forever!"
yes,yes,yes,"Note 5 looks very excellent, but I have not used it because of my SIM size not to match it and I shall replace SMI card after I return China next week. thanks"
yes,yes,yes,Yes yes yes!!!!!! I love this! I have been trying to figure out which one to get between the St and note 5. I just had to pick one or never would have gotten one. I am so ooooooo happy with this one. Only thing I didn't know was it needed a Sim card for straight talk. Oops.
yes,yes,no,Been using this for a month. I came from a note 3. I switched because the GPS on the note 3 is awful. The note 5 is the complete opposite! The GPS usually finds itself within 4 seconds and never let's go of the signal. I have never lost service. Overall great device.
no,no,no,The battery lasts only about 5 hours. So for a new product one has to go with the charger to work and every where.Far below my expectations Very frustrating.
yes,yes,yes,It is very versatile 2k display phone. Every aspect of this phone is nice. Even TouchWiz has evolved a lot and got some cool new features. Major downside is the support from Samsung if you have a problem like sending it to them for service like screen replacement.
yes,no,yes,"Long ago fell in love with the phablet idea with the MEGA. 6.3"" galaxy. Then note 2, 3 and now my 2nd 5. Get a glass screen protector. Shows the beautiful screen. This Note 5 is exceptionally well built compared to my previous galaxies."
yes,no,yes,"I bought it and practically the same week they Change the price, a lower off course"
yes,yes,yes,I had been an iPhone user all my life until I finally decided to give Galaxy a try. I have not looked back since. So glad I took the risk and jumped the ship. Had it for a year now - not a single glitch so far. Extremely fast and reliable.
yes,yes,yes,It's a great phone but I just can't get past the glass back. It cracks way too easily. I went through 2 of these phones and the glass back just breaks my heart!
yes,yes,yes,It worked great until few mo this later when it went off. I loved the camara though.
no,no,no,SPen doesn't work.
yes,yes,yes,"Slow shipping speed from a third party but I did receive it and it is a great, fast phone and works well in the USA on T-Mobile 4G (not exactly sure if it's considered LTE but I get speeds of up to 22 MBps down and anywhere from 7 to 22 MBps up)."
yes,yes,yes,It is a nice mobile but the one I bought is not pen friendly.No response when using the pen to press some alphabets like the ''n'' and ''o''. Have not been able to figure out why. I also have a samsung laptop that wont upgrade to windows 10 no matter how hard I try.
yes,yes,yes,"After trying to get this phone up and running for some time, It was brought to my attention that the phone is from Australia! It has been one hassle after another and I still cant get it on my plan!!!"
yes,yes,yes,had used all the note series... but this one is beast.. smartphone of the year !!... no comparison at all....
yes,yes,yes,"It's a great phone , no doubts ! But buying it at 53k would be a bad decision ! As Samsung is notorious for dropping its price by at least 10k in 3-6 month of its product release !"
yes,yes,yes,King of all smartphone 2015
no,no,no,Had a very bad experience
yes,no,yes,"Best and worldclass phone. There is no one point against this statement. Only thing i dont like ( not hate) is (not micro sd and removable battery as u guessed), it is the silver color side metal around the black phone( i hv the black one), it sud have been made a black ascent metal."
yes,yes,yes,Amazing fone. Just go for it when you have budget you will never get disappointed
yes,yes,yes,"Got the Note 5 last week and absolutely loving it. I use iphone 6 as my daily driver but needed a second phone as I travel a lot and also like to watch youtube, tatasky etc and wanted a bigger screen than the 4.7 inches on my iphone 6."
yes,yes,yes,Really Glood mobile phone
yes,yes,yes,Bought dis some 7 days ago....amazing mobile..no cons yet people hu r complaining of no ext card slot shud knw 1 thing dat Samsung is giving us 100gb of free online storage thru Microsoft drive n trust me guys I have used 128 gb of Asus phone n it made me even more lazy so dat I kept storing more n...
yes,yes,yes,Best product loved ittttttttg seriously :) and now its depends on u giys whts your heart wants..
yes,yes,yes,Good phone and good value for money. Buy it only if you are an ardent user of S-pen and require highly performant multi-app feature support for creativity. The Samsung pay is yet to be introduced in India.
no,no,no,very poor sound quality often the phone gets hacked
no,yes,no,i really liked its camera and screen clearity feels really premimum in hands.but its very slippery without back covers i have been using its since 3 months and i think the spring in stylus's button lost its elastic nature hence the button is note working properly and once i forced the upside down...
no,no,no,"This phone has serious known issues. Touch not work with fingers, screen shows lines. This problem not covered under warranty as told by Samsung service."
yes,yes,yes,"Great mobile by Samsung Galaxy, TouchWiz is amazing."
no,no,no,3RD CLASS PHONE. VERY LOW QUALITY MATERIAL USED PAINT ON HOME BUTTON CHIPPED IN FEW DAYS S PEN STYLUS CLICKING SPRING MECHANISM STOPS WORKING THE BACK GLASS SHATTERED IN JUST ONE SMALL DROP .
yes,yes,yes,Good product by Samsung and it's wireless charger support is amazing.
yes,yes,yes,This phone will take care of your professional and personal needs of a phone. S Pen is awesome.
yes,yes,yes,Excellent premium phone.
yes,yes,yes,Does it have it blaster sensor..?
yes,yes,yes,"PROS --Great aesthetic with curves on the back for small bump up in handling -Stellar Quad HD display -Wonderful performance -4GB RAM -Fingerprint reader performs very well -FAST charging almost makes up for standard battery size -S Pen streamlined, physically and in feature set (Clicky top!"
yes,no,yes,"The combo of Exynos 7420 chipset, ultra-sharp Super AMOLED display, and speedy memory should hardly catch anyone by surprise. Dropping the memory card slot and the removable battery from the Note5 specs surely raises eyebrows - Both hardware features have been a staple for the product family since..."
yes,yes,yes,"EASY TO HANDLE, BATERY BACK UP IS LOW AS EXPECTED, BUT OVER ALL GOOD 1"
yes,no,yes,"Excellent phone. Superb battery back up. I actually had a feeling that battery may not last long. But contrary to that, battery last very well. Processor, screen, camera, display everything is just awesome. Loving it."
yes,yes,yes,"B.C, Road. Dutta.Centre .Burdwan"
yes,yes,yes,Yaar maan gaye Samsung sabka baap hai
yes,yes,yes,I bought the product from the nearest showroom the phone is just awesome
yes,yes,yes,"Just bought it today, still fiddling around. I have used the first note and have looked and felt the later versions as well but this one is different. It's is much classier and for some reason it doest feel like a big phone. Samsung has done a amazing job with the built quality."
no,no,yes,"Samsung is going down.Year by year sales declining.Even though they wont learn.This is going to be another flop.No memory card slot,No removable battery,And VERY FRAGILE....wait wait before buying price will become half in 3 months"
yes,yes,yes,It is awesome mobile which we see in this century. Go ahead with this mobile as no one is giving that much function even iphone
yes,yes,yes,"I purchased this phone from local dealer and i am very happy with the device. This device is not for those who have high memory requirement, Else everything is top notch(Camera, Performance, Multitasking, Battery)."
yes,yes,yes,Is note 5 supports OTG ?
yes,yes,yes,It's a amazing phn don't go for the bad reviews. I used s6 edge before this and this is a true iphone 6s plus killer with amazing the only con is samsung is not sending my wireless charger otherwise phn is good and the battery works for m 1 full day with high usage.
yes,yes,yes,Hiì bought it from samsung showroom..fantastic phone..awsum batterry back up..lightning charging..touch is fantafabulous..speakers phone ♥♥♥ loudness is excellent. Golden colour gives royal feeling..was a bit confused either to go for apple or note 5..glad i chuz the right choice.
yes,yes,yes,"Finest note ever produced .. I am using note series from note 1 .. note 5 is amazing all the controls in one hand , much more useful camera and stylus. Practically I am not missing the removal battery and mmc as .. iPhone made me adjusted with cloud memory ."
yes,yes,yes,I used to hate samsung phones. But believe me this BEAST is one piece of hell. Amazing device. Beats nexus and iphones easily. Hope this beast does not get price reduction soon. Coz it's not worth price drop.
no,no,no,Very very poor phone card slot no . 32gb show memory 20gb
yes,yes,yes,"I hv taken from my own shop. Beautiful and fast android phone for android phone users ( do not know abt apple users ). Nice software , hardware , look ..sound .. Camera is awesome... Touch is amazing. . All in one .. Price is too high :( . No phone is perfect .."
yes,yes,yes,The best of samsung note series..worth for 55k.screen..touch..camera..os..pen..metal.. then finally speed..everything is awesome..happy and proud to have note 5 in hand..
no,no,no,Why Would I hate Samsung. Simple fact. They did to Apple was worst. Competing against apple was worst thing to do. Now Micromax doing same to Samsung in mid range phones. Second thing. Price Actualization. They won't listen to you at all. Guys this people will never help you out when you buy.
yes,yes,yes,"Excellent. Performance, looks"
yes,yes,yes,I ordered the phone with 1 day delivery option but it showed on 4th day but still it reach to me on the next day so the service is very good and the phones packing was sealed and perfect .The phone is very good task wise.
yes,yes,yes,Nice product... I own it.
yes,yes,yes,awesome phone for a power user and beautiful design from Samsung.
yes,yes,yes,Awesome phone the best beast ever seen Samsung is back
yes,yes,yes,I have used several smartphones..infact evry two months i buy a new phone..But this has taken me..Awesome phone..great battery and the display is just Wow..in all a worth buy..
yes,yes,yes,"I have been using this product for about a week now and i find this one is worth it. Samsung has come a long way from yesteryears, when its phones were easily the most unappealing plastic hunks on the market. Its efforts to create more premium-looking devices is evident in this version."
yes,yes,yes,Phone is really good but lack external sd card is backward option. I won't buy this bcz of lack expandable memory.
yes,yes,yes,Beautiful handset. ..friendly use and all futures in one phone. ..
yes,yes,yes,I wanted the golden one but it was unavailable so i got white.. and i am not one bit disappointed.. my whole world fits in this phablet and i need no other gadget..
yes,yes,yes,D according to reviews seems to be a great one hope had invested at right place :D
yes,yes,yes,Awesome mobile but too costly..!!
yes,yes,yes,"This is really a worthy phone, instead of apple iphone 6 plus go for this one, its really awesome!"
yes,yes,yes,There are single seam. No external seam. And not external memory card. But extra otg avilaabel so you can access pen drive by otg cable. For storage there are 100 gb free storage availabe on server. Battery very fantastic. Phone very fast. Screen result very fine rhan i phone. Sound also good.
no,no,no,day one problem in phone and they giving me 3 month extra warranty to repair more ...... what the f...... never buy samsung product worst service
yes,yes,yes,"Can you ask anything more from a phone? Nothing stands in the way, fell in love with the phone as soon as i saw it in the showroom premium gold platinum colour, gorgeous design, awesome screen but the most st important , the USABILITY of the phone is really nice, customise it with skins and themes..."
yes,yes,yes,It's great fast and furious. No hassles. Very good camera. I love it.
yes,no,yes,Very wrestling set quality
no,no,no,Never buy any Samsung mobile it sucks....
no,yes,no,Guys this HANGS frequently I suggest u to BUYS Sony or motorolla
yes,yes,yes,Donot order preoaid. Delivery is big issue. Cs is no use
yes,yes,yes,How can i exchange my old phone
yes,yes,yes,"Excellent product, very good processor"
yes,yes,yes,"Excellent phone, using from 3 months better than any others."
yes,yes,yes,"most of all customers explained briefly regarding this high ranged,and absolute beauty.simply superb in all segments and no comprimise phone with style and features ,best in class camera ,fast processor (top 1 ranked --smart phone in the world ) no comparision please ,bcoz no other phone can compete..."
yes,yes,yes,"Pros: Great battery life, almost 1.5 times than s6 and equal to iphone 6 plus(my previous phone). Amazing looks, this phone is definitely a head turner. The ability to use the stylus on the locked screen is really helpful. Build quality is much better than the previous generation notes."
yes,yes,yes,Awesome phone I had ever. Worth of cost no doubt
yes,yes,yes,The best high end smartphone available in the market.
yes,yes,yes,Realy it is very nice mobile u like big screen and fast mobile then u should buy this mobile
yes,yes,yes,I AM Using this device since 2 months very nice perfomance camera is good both front and rear. but sd card is not supported and battery is non removeble and single sim it also nano.
yes,yes,yes,"What is wrong with this company (Samsung) ? Just 1 colour option ? Gold? Are you serious ? You really expect all your conservative business buyers to flash around a Gold colours phone? Please get real. After deciding to spend a kings ransom, at the least we can expect to get a colour choice."
yes,no,yes,It has a gear vr yay!!! Its a best feature for note 5...disappointed with samsung for not giving expandable memory support.
no,yes,yes,My SPen didnt work. screen developed purple patch... surely not the kind of issues i would like to see in a flagship phone
yes,yes,yes,"Trust me......you r going to buy an amazing beast of all phones. Everything is best in this phone. The camera, processor speed....... Everything is great Mainly display.... Awesome thing in this phone I love this phone a lot But I was in a idea of buying iPhone 6s plus over this phone,after viewing..."
yes,yes,yes,"I was a bit skeptical about all the premium design choice but it all changed the moment i held the device in hand. Quality design, slim profile, blazing fast device, best mobile camera with f1.9 . Forget the price tag , if you want the best of android this is the one you have to choose from!!!"
no,yes,no,Genuine Review after 2 weeks used.. Worst mobile ever in the view of pricing.. Nothing new features instead of a HD screen and s pen. Can compare it with lenovo vibe k5 note which has the same features at much reasonable price coolpad note 3
yes,yes,yes,"The phone is awesome and works better than expected. I have been a Note 2 user and am simply loving the ease of using the stylus (even with tempered glass screen protector). It is much better in making sense of my hand written notes - no matter how badly written the words are, somehow it can..."
yes,yes,yes,I used to buy one more phone as it is too good.
yes,yes,yes,great handset for official work and photography!!!
yes,yes,yes,The S Pen is the most amazing thing in this phone. I am a Note series fan and this phone is the best by far...........
yes,yes,yes,"Bought on 20th Sep, had only one doubt in mind before getting my hands on it and that was battery backup, as S6 Edge had not too good battery backup. But i am very happy after seeing my Note5 still breathing with 2% still left while writing this review."
yes,yes,yes,"Beast , powerful spec .. great battery backup no lag at all .. everything is outstanding m loving it."
yes,yes,yes,"An excellent phone.....ultimate Very sleek, nice design Proud to own it"
yes,yes,yes,Samsung Galaxy Note 5 is best in its category best than an iPhone 6/6s
yes,yes,yes,This phone is spectacular. Have been using it for 3 months Just amazing. Superb. Love it
yes,yes,yes,Amazing phone. Using it since last month.s pen is also very useful. Speed and battery backup is also good.
yes,yes,yes,Good product by Samsung
yes,yes,yes,That is working very well.
yes,yes,yes,"Sound quality, picture quality and everything else is awesome"
yes,yes,yes,Great device. No worries
no,yes,yes,Can someone get back to me on how come my phone keeps turning off and on after I did the new update? Thanks
yes,no,yes,I constantly make fun of my friends galaxy s7 because of my superior screen and photo quality its a one sided arguement make the right choice
yes,yes,yes,This review is for someone comparing this to the larger iPhone 6S Plus. My thoughts after 5 months heavy usage as a work phone. Note: I also have the iPhone 6S Plus as a personal phone. This will be my last Samsung/Android device.
yes,yes,yes,EXCELLENT PHONE !! WORKS GREAT ON AT&T NETWORK IN THE U.S.!!
yes,yes,yes,This phone is a beast!! Everything ok with the shipping.
yes,yes,yes,"This phone is sexy in the Sliver Titanium color and people will notice it as it is a rare color for the Note 5. Good quality photos, and calls sound great. Videos looks amazing in this Super AMOLED display."
yes,yes,yes,I am very happy with my phone and Tecchnomaster's quick response to my email. Thank you :)
yes,yes,yes,My daughter loves it unlike other phones I have bought in the past I'm very pleased and thank you
yes,yes,yes,"The phone is really good overall but it is not compatible with T-Mobile. Sprint and T-Mobile are the only companies right now who have WiFi enabled calling on their Note5. Apparently, unless you by from them outright, you will not have this feature on your phone."
yes,yes,yes,"this phone works great, i love not having all the extra features at&t preloads that you can't take off. I'd recommend it to anyone who loves the larger screen phones. battery lasts me through the day on moderate use and charges quickly if needed"
yes,no,yes,"The Samsung Galaxy Note line of smartphones are already known for their quality, appearance and functionality. This one is no different. I am very impressed by the new Android 6 OS on this phone and the camera."
no,yes,yes,Ordered this phone. Package was delivered and then I open the box and everything is in there EXCEPT the phone.
no,no,no,THIS MY SECOND NOTE 5..I DON'T LIKE IT SOUNDS OR VERY BAD
no,yes,no,the box said silver but i got a navy blue one. also i had to reformat the phone a couple of weeks in. no problem since.
yes,yes,yes,I like the product
yes,yes,yes,"Long time note fan. Not disappointed. With OTG storage not having an sd card option doesn't bother me as much as i thought it would. The phone looks and feels quality, is quick and powerful, but the best feature is this super snappy camera. Holy cow."
yes,yes,yes,It's great! Thanks!
yes,yes,yes,Love this phone.. super happy with it.
yes,yes,yes,Two items missing from previous models: SD card support and the IR blaster for controlling media devices. Otherwise I would have given it a 5 star rating.
yes,yes,yes,Great phone!!! Love Love Love!!!!
yes,yes,yes,Note 5 is a classical android phone. The phone is being formatted to suit users needs
yes,yes,yes,Super good service 10 out of 10
yes,no,yes,"I bought 2 of these unlocked phone for the hubs and me. Let me tell you these phones are awesome, we use them on the metro network and they work great."
yes,yes,yes,"So sleek, a BIG & GREATER experience when moving from the Windows phone"
yes,yes,yes,It's everything I want n a phone
